G(i),T2m,datetime
0.0,3.8,2023-01-01 00:00:00
0.0,3.614375,2023-01-01 01:00:00
0.0,3.334375,2023-01-01 02:00:00
0.0,3.194375,2023-01-01 03:00:00
0.0,2.96625,2023-01-01 04:00:00
0.0,2.711875,2023-01-01 05:00:00
0.0,2.4675,2023-01-01 06:00:00
0.0,2.33875,2023-01-01 07:00:00
64.433125,2.425,2023-01-01 08:00:00
196.869375,4.283125,2023-01-01 09:00:00
308.619375,6.83125,2023-01-01 10:00:00
379.75,8.44875,2023-01-01 11:00:00
418.625,9.71875,2023-01-01 12:00:00
393.125,10.559375,2023-01-01 13:00:00
324.506875,10.974375,2023-01-01 14:00:00
218.445,10.87125,2023-01-01 15:00:00
80.008125,10.170625,2023-01-01 16:00:00
0.0,8.655625,2023-01-01 17:00:00
0.0,7.282500000000001,2023-01-01 18:00:00
0.0,6.7325,2023-01-01 19:00:00
0.0,5.91125,2023-01-01 20:00:00
0.0,5.2875,2023-01-01 21:00:00
0.0,4.900625,2023-01-01 22:00:00
0.0,4.595625,2023-01-01 23:00:00
0.0,4.33375,2023-01-02 00:00:00
0.0,4.065,2023-01-02 01:00:00
0.0,3.865,2023-01-02 02:00:00
0.0,3.72125,2023-01-02 03:00:00
0.0,3.611875,2023-01-02 04:00:00
0.0,3.523125,2023-01-02 05:00:00
0.0,3.45875,2023-01-02 06:00:00
0.0,3.3868750000000003,2023-01-02 07:00:00
59.994375,3.47875,2023-01-02 08:00:00
162.995,4.92625,2023-01-02 09:00:00
297.12,6.699375,2023-01-02 10:00:00
359.625,8.115,2023-01-02 11:00:00
400.0625,9.261875,2023-01-02 12:00:00
361.25,10.069375,2023-01-02 13:00:00
297.505625,10.463125,2023-01-02 14:00:00
193.880625,10.419375,2023-01-02 15:00:00
83.81937500000001,9.86,2023-01-02 16:00:00
0.0,8.588125,2023-01-02 17:00:00
0.0,7.4475,2023-01-02 18:00:00
0.0,6.411875,2023-01-02 19:00:00
0.0,5.580625,2023-01-02 20:00:00
0.0,4.863125,2023-01-02 21:00:00
0.0,4.283125,2023-01-02 22:00:00
0.0,3.85375,2023-01-02 23:00:00
0.0,3.459375,2023-01-03 00:00:00
0.0,3.07125,2023-01-03 01:00:00
0.0,2.75875,2023-01-03 02:00:00
0.0,2.615,2023-01-03 03:00:00
0.0,2.535,2023-01-03 04:00:00
0.0,2.565,2023-01-03 05:00:00
0.0,2.54125,2023-01-03 06:00:00
0.0,2.395625,2023-01-03 07:00:00
67.43062499999999,2.368125,2023-01-03 08:00:00
196.68,4.25375,2023-01-03 09:00:00
286.9325,7.0725,2023-01-03 10:00:00
384.375,8.720625,2023-01-03 11:00:00
435.125,9.990625,2023-01-03 12:00:00
366.25,10.838125,2023-01-03 13:00:00
315.75625,11.175625,2023-01-03 14:00:00
218.883125,10.999375,2023-01-03 15:00:00
81.69375000000001,10.200625,2023-01-03 16:00:00
0.0,8.606875,2023-01-03 17:00:00
0.0,7.249375,2023-01-03 18:00:00
0.0,6.54375,2023-01-03 19:00:00
0.0,5.82125,2023-01-03 20:00:00
0.0,5.24,2023-01-03 21:00:00
0.0,4.76375,2023-01-03 22:00:00
0.0,4.4175,2023-01-03 23:00:00
0.0,4.200625,2023-01-04 00:00:00
0.0,4.0625,2023-01-04 01:00:00
0.0,3.865,2023-01-04 02:00:00
0.0,3.779375,2023-01-04 03:00:00
0.0,3.791875,2023-01-04 04:00:00
0.0,3.75875,2023-01-04 05:00:00
0.0,3.7325,2023-01-04 06:00:00
0.0,3.66,2023-01-04 07:00:00
63.995,3.690625,2023-01-04 08:00:00
180.62,5.009375,2023-01-04 09:00:00
300.556875,6.76,2023-01-04 10:00:00
347.75,8.328125,2023-01-04 11:00:00
385.9375,9.6275,2023-01-04 12:00:00
385.9375,10.511875,2023-01-04 13:00:00
304.31875,10.87125,2023-01-04 14:00:00
212.131875,10.7325,2023-01-04 15:00:00
84.00687500000001,10.0725,2023-01-04 16:00:00
0.0,8.53125,2023-01-04 17:00:00
0.0,7.13125,2023-01-04 18:00:00
0.0,6.32125,2023-01-04 19:00:00
0.0,5.458125,2023-01-04 20:00:00
0.0,4.653125,2023-01-04 21:00:00
0.0,4.055625,2023-01-04 22:00:00
0.0,3.709375,2023-01-04 23:00:00
0.0,3.50625,2023-01-05 00:00:00
0.0,3.1875,2023-01-05 01:00:00
0.0,2.8243750000000003,2023-01-05 02:00:00
0.0,2.606875,2023-01-05 03:00:00
0.0,2.391875,2023-01-05 04:00:00
0.0,2.070625,2023-01-05 05:00:00
0.0,1.87875,2023-01-05 06:00:00
0.0,1.936875,2023-01-05 07:00:00
68.49312499999999,2.115,2023-01-05 08:00:00
189.618125,4.01,2023-01-05 09:00:00
312.1825,6.340625,2023-01-05 10:00:00
384.125,7.965625,2023-01-05 11:00:00
404.3125,9.35875,2023-01-05 12:00:00
379.4375,10.299375,2023-01-05 13:00:00
326.44375,10.765625,2023-01-05 14:00:00
202.630625,10.734375,2023-01-05 15:00:00
84.13125000000001,10.01625,2023-01-05 16:00:00
0.0,8.428749999999999,2023-01-05 17:00:00
0.0,7.038125,2023-01-05 18:00:00
0.0,6.1775,2023-01-05 19:00:00
0.0,5.35625,2023-01-05 20:00:00
0.0,4.69125,2023-01-05 21:00:00
0.0,4.231875,2023-01-05 22:00:00
0.0,3.99125,2023-01-05 23:00:00
0.0,3.67375,2023-01-06 00:00:00
0.0,3.416875,2023-01-06 01:00:00
0.0,3.274375,2023-01-06 02:00:00
0.0,3.0825,2023-01-06 03:00:00
0.0,2.888125,2023-01-06 04:00:00
0.0,2.849375,2023-01-06 05:00:00
0.0,2.74,2023-01-06 06:00:00
0.0,2.685,2023-01-06 07:00:00
63.620625,2.791875,2023-01-06 08:00:00
179.36875,4.429375,2023-01-06 09:00:00
286.494375,6.63375,2023-01-06 10:00:00
336.375,8.169375,2023-01-06 11:00:00
396.25,9.336875,2023-01-06 12:00:00
356.1875,10.215,2023-01-06 13:00:00
305.880625,10.676875,2023-01-06 14:00:00
206.8825,10.55,2023-01-06 15:00:00
87.13250000000001,9.86125,2023-01-06 16:00:00
0.0,8.275,2023-01-06 17:00:00
0.0,6.875625,2023-01-06 18:00:00
0.0,5.890000000000001,2023-01-06 19:00:00
0.0,4.889375,2023-01-06 20:00:00
0.0,4.10875,2023-01-06 21:00:00
0.0,3.46625,2023-01-06 22:00:00
0.0,2.974375,2023-01-06 23:00:00
0.0,2.6125,2023-01-07 00:00:00
0.0,2.30375,2023-01-07 01:00:00
0.0,2.059375,2023-01-07 02:00:00
0.0,1.906875,2023-01-07 03:00:00
0.0,1.775,2023-01-07 04:00:00
0.0,1.630625,2023-01-07 05:00:00
0.0,1.45875,2023-01-07 06:00:00
0.0,1.484375,2023-01-07 07:00:00
66.9325,1.583125,2023-01-07 08:00:00
177.744375,3.45,2023-01-07 09:00:00
308.494375,5.908125,2023-01-07 10:00:00
328.3125,7.59125,2023-01-07 11:00:00
371.8125,8.854375,2023-01-07 12:00:00
342.625,9.650625,2023-01-07 13:00:00
336.5075,10.026875,2023-01-07 14:00:00
218.8825,10.0525,2023-01-07 15:00:00
92.695,9.478125,2023-01-07 16:00:00
0.0,7.940625,2023-01-07 17:00:00
0.0,6.45125,2023-01-07 18:00:00
0.0,5.120625,2023-01-07 19:00:00
0.0,3.934375,2023-01-07 20:00:00
0.0,3.073125,2023-01-07 21:00:00
0.0,2.51625,2023-01-07 22:00:00
0.0,2.031875,2023-01-07 23:00:00
0.0,1.58875,2023-01-08 00:00:00
0.0,1.27375,2023-01-08 01:00:00
0.0,1.029375,2023-01-08 02:00:00
0.0,0.965,2023-01-08 03:00:00
0.0,0.8268750000000001,2023-01-08 04:00:00
