value,percentage,datetime
204.51,0.5836972343522562,2022-01-01 00:00:00+01:00
171.35,0.5986026200873362,2022-01-01 01:00:00+01:00
172.7,0.6026450779914156,2022-01-01 02:00:00+01:00
156.07,0.6147634616142119,2022-01-01 03:00:00+01:00
159.08,0.6192774836499534,2022-01-01 04:00:00+01:00
157.28,0.6216109398466525,2022-01-01 05:00:00+01:00
158.87,0.6189659874547083,2022-01-01 06:00:00+01:00
157.58,0.6170412718302138,2022-01-01 07:00:00+01:00
156.18,0.6149303094731868,2022-01-01 08:00:00+01:00
118.96,0.6293846886408127,2022-01-01 09:00:00+01:00
122.06,0.6138295197384963,2022-01-01 10:00:00+01:00
127.97,0.603432828782949,2022-01-01 11:00:00+01:00
139.9,0.5962325264234573,2022-01-01 12:00:00+01:00
141.95,0.5945549738219895,2022-01-01 13:00:00+01:00
143.48,0.5946618037135278,2022-01-01 14:00:00+01:00
147.69,0.5998537833556721,2022-01-01 15:00:00+01:00
172.14,0.6005442366731789,2022-01-01 16:00:00+01:00
212.24,0.5859584219099417,2022-01-01 17:00:00+01:00
240.74,0.5759881328356781,2022-01-01 18:00:00+01:00
244.33,0.5657751534097487,2022-01-01 19:00:00+01:00
247.11,0.5662854916699132,2022-01-01 20:00:00+01:00
248.38,0.5655411097702588,2022-01-01 21:00:00+01:00
248.88,0.569167791067304,2022-01-01 22:00:00+01:00
229.1,0.5780098899989908,2022-01-01 23:00:00+01:00
237.41,0.5667327110835263,2022-01-03 00:00:00+01:00
215.14,0.5723939764806044,2022-01-03 01:00:00+01:00
208.71,0.574404843814504,2022-01-03 02:00:00+01:00
203.75,0.5761997681061056,2022-01-03 03:00:00+01:00
196.49,0.5762508064989149,2022-01-03 04:00:00+01:00
200.68,0.5741259941637581,2022-01-03 05:00:00+01:00
202.87,0.5688369223867206,2022-01-03 06:00:00+01:00
206.64,0.5624999999999999,2022-01-03 07:00:00+01:00
265.11,0.5834672183462817,2022-01-03 08:00:00+01:00
257.98,0.5842996919731837,2022-01-03 09:00:00+01:00
298.68,0.6501523726599914,2022-01-03 10:00:00+01:00
288.37,0.6545384388405929,2022-01-03 11:00:00+01:00
284.07,0.6561568844847897,2022-01-03 12:00:00+01:00
276.19,0.6603782607656075,2022-01-03 13:00:00+01:00
189.77,0.5983603972883494,2022-01-03 14:00:00+01:00
173.26,0.6055289553699367,2022-01-03 15:00:00+01:00
190.3,0.6001261431725008,2022-01-03 16:00:00+01:00
217.17,0.5939123776185528,2022-01-03 17:00:00+01:00
319.66,0.6461432729624839,2022-01-03 18:00:00+01:00
326.48,0.644605907439583,2022-01-03 19:00:00+01:00
295.16,0.6574744392221504,2022-01-03 20:00:00+01:00
281.1,0.6644761724659607,2022-01-03 21:00:00+01:00
179.33,0.6111300436205017,2022-01-03 22:00:00+01:00
164.71,0.6213830308974988,2022-01-03 23:00:00+01:00
186.21,0.5829628702022416,2022-01-02 00:00:00+01:00
168.59,0.5926668072839766,2022-01-02 01:00:00+01:00
164.36,0.5979336437718278,2022-01-02 02:00:00+01:00
168.8,0.5990063875088716,2022-01-02 03:00:00+01:00
173.15,0.5990934883399073,2022-01-02 04:00:00+01:00
167.53,0.6025175328178385,2022-01-02 05:00:00+01:00
170.81,0.5958211245988558,2022-01-02 06:00:00+01:00
183.78,0.5864445720850087,2022-01-02 07:00:00+01:00
165.48,0.5881642082814998,2022-01-02 08:00:00+01:00
160.64,0.580955480814437,2022-01-02 09:00:00+01:00
153.62,0.5761758307703848,2022-01-02 10:00:00+01:00
141.37,0.5768555922797568,2022-01-02 11:00:00+01:00
141.13,0.5764407956541274,2022-01-02 12:00:00+01:00
147.85,0.5722413592909393,2022-01-02 13:00:00+01:00
154.49,0.5714232874685604,2022-01-02 14:00:00+01:00
148.14,0.5749883558453656,2022-01-02 15:00:00+01:00
159.93,0.5798767222625091,2022-01-02 16:00:00+01:00
210.37,0.5683218067862547,2022-01-02 17:00:00+01:00
252.85,0.5655334377096846,2022-01-02 18:00:00+01:00
255.34,0.563241717033573,2022-01-02 19:00:00+01:00
267.48,0.5620980960786787,2022-01-02 20:00:00+01:00
268.11,0.5618281259822719,2022-01-02 21:00:00+01:00
247.7,0.5641597959276636,2022-01-02 22:00:00+01:00
232.27,0.5661393716333147,2022-01-02 23:00:00+01:00
273.97,0.5694421350182907,2022-01-06 00:00:00+01:00
274.38,0.5732971165900543,2022-01-06 01:00:00+01:00
260.05,0.5754973775643437,2022-01-06 02:00:00+01:00
247.79,0.5782865411094774,2022-01-06 03:00:00+01:00
235.25,0.5803626495621068,2022-01-06 04:00:00+01:00
265.43,0.5772601726800201,2022-01-06 05:00:00+01:00
274.4,0.5733149471396932,2022-01-06 06:00:00+01:00
285.48,0.569116063952793,2022-01-06 07:00:00+01:00
288.54,0.5680368532955351,2022-01-06 08:00:00+01:00
282.62,0.5622935816322471,2022-01-06 09:00:00+01:00
272.53,0.5591161807849332,2022-01-06 10:00:00+01:00
262.94,0.5584487299294877,2022-01-06 11:00:00+01:00
259.46,0.5586272230116694,2022-01-06 12:00:00+01:00
259.12,0.5589904001725812,2022-01-06 13:00:00+01:00
250.31,0.559789779715979,2022-01-06 14:00:00+01:00
245.51,0.5638723013321084,2022-01-06 15:00:00+01:00
261.18,0.5636775655551959,2022-01-06 16:00:00+01:00
284.0,0.5609211747743478,2022-01-06 17:00:00+01:00
347.92,0.5599330500836874,2022-01-06 18:00:00+01:00
352.09,0.5584741057974462,2022-01-06 19:00:00+01:00
318.89,0.5588678583946722,2022-01-06 20:00:00+01:00
292.36,0.5597334967069996,2022-01-06 21:00:00+01:00
276.92,0.5612939841089671,2022-01-06 22:00:00+01:00
272.25,0.5645412130637636,2022-01-06 23:00:00+01:00
166.59,0.5810603418207185,2022-01-05 00:00:00+01:00
149.69,0.5875034342007143,2022-01-05 01:00:00+01:00
125.37,0.5973698003525992,2022-01-05 02:00:00+01:00
114.73,0.6034927147440955,2022-01-05 03:00:00+01:00
119.0,0.6006763919034879,2022-01-05 04:00:00+01:00
138.39,0.5934900077193583,2022-01-05 05:00:00+01:00
225.58,0.5716385383406822,2022-01-05 06:00:00+01:00
262.78,0.5604777647435214,2022-01-05 07:00:00+01:00
290.49,0.5791037039990431,2022-01-05 08:00:00+01:00
292.89,0.5779773063640848,2022-01-05 09:00:00+01:00
355.7,0.6297804532577904,2022-01-05 10:00:00+01:00
348.34,0.6320354174982763,2022-01-05 11:00:00+01:00
345.65,0.6335924038567291,2022-01-05 12:00:00+01:00
342.63,0.6345352519584421,2022-01-05 13:00:00+01:00
271.42,0.5811742537792814,2022-01-05 14:00:00+01:00
277.27,0.5809499863808746,2022-01-05 15:00:00+01:00
286.09,0.581294700910273,2022-01-05 16:00:00+01:00
291.59,0.5799093114832345,2022-01-05 17:00:00+01:00
377.89,0.6267975916004578,2022-01-05 18:00:00+01:00
408.58,0.6200752746919201,2022-01-05 19:00:00+01:00
399.05,0.6225623264376423,2022-01-05 20:00:00+01:00
372.09,0.6295512994044397,2022-01-05 21:00:00+01:00
290.24,0.5831625477195097,2022-01-05 22:00:00+01:00
283.57,0.5864094133217528,2022-01-05 23:00:00+01:00
174.65,0.5819338931094229,2022-01-04 00:00:00+01:00
163.91,0.5865240105918558,2022-01-04 01:00:00+01:00
161.68,0.5879914172455176,2022-01-04 02:00:00+01:00
153.58,0.5920814217972937,2022-01-04 03:00:00+01:00
152.68,0.5925178515988824,2022-01-04 04:00:00+01:00
163.79,0.587271423449265,2022-01-04 05:00:00+01:00
206.56,0.5732522965059805,2022-01-04 06:00:00+01:00
207.43,0.5629647722955001,2022-01-04 07:00:00+01:00
252.67,0.5854534501135363,2022-01-04 08:00:00+01:00
265.2,0.5826010544815465,2022-01-04 09:00:00+01:00
332.83,0.636739300950814,2022-01-04 10:00:00+01:00
323.75,0.639607246577237,2022-01-04 11:00:00+01:00
323.76,0.6395638260045039,2022-01-04 12:00:00+01:00
320.06,0.6405683978785149,2022-01-04 13:00:00+01:00
232.02,0.5870654319113405,2022-01-04 14:00:00+01:00
225.99,0.5896057815231287,2022-01-04 15:00:00+01:00
228.76,0.5925503807698285,2022-01-04 16:00:00+01:00
238.3,0.5926681257461202,2022-01-04 17:00:00+01:00
331.5,0.6418945085585934,2022-01-04 18:00:00+01:00
324.57,0.6445507983159902,2022-01-04 19:00:00+01:00
299.28,0.6571805006587615,2022-01-04 20:00:00+01:00
291.42,0.6622128297770808,2022-01-04 21:00:00+01:00
211.35,0.6051192487187563,2022-01-04 22:00:00+01:00
174.07,0.6237503135414054,2022-01-04 23:00:00+01:00
281.47,0.5686951953772175,2022-01-07 00:00:00+01:00
254.67,0.5740077084319427,2022-01-07 01:00:00+01:00
244.39,0.5758618252079455,2022-01-07 02:00:00+01:00
227.46,0.5797227036395147,2022-01-07 03:00:00+01:00
225.3,0.5805204844112342,2022-01-07 04:00:00+01:00
226.36,0.5783932951757972,2022-01-07 05:00:00+01:00
225.44,0.5771042391972149,2022-01-07 06:00:00+01:00
276.05,0.5611456681709152,2022-01-07 07:00:00+01:00
329.12,0.5744205529181793,2022-01-07 08:00:00+01:00
335.97,0.5733472132154681,2022-01-07 09:00:00+01:00
392.01,0.6202591731143494,2022-01-07 10:00:00+01:00
383.69,0.6226510012657817,2022-01-07 11:00:00+01:00
364.74,0.6277580806168462,2022-01-07 12:00:00+01:00
359.73,0.629261636958385,2022-01-07 13:00:00+01:00
285.33,0.5794914496933262,2022-01-07 14:00:00+01:00
290.13,0.5799816088277626,2022-01-07 15:00:00+01:00
303.09,0.5791897573093827,2022-01-07 16:00:00+01:00
332.49,0.5769090625162667,2022-01-07 17:00:00+01:00
422.83,0.6192317267841191,2022-01-07 18:00:00+01:00
410.28,0.6213727509541407,2022-01-07 19:00:00+01:00
404.24,0.623750154301938,2022-01-07 20:00:00+01:00
405.34,0.6243876890846914,2022-01-07 21:00:00+01:00
328.15,0.5819913450624291,2022-01-07 22:00:00+01:00
304.51,0.5860356806066088,2022-01-07 23:00:00+01:00
262.58,0.5723066192977485,2022-01-10 00:00:00+01:00
227.99,0.5801419883457595,2022-01-10 01:00:00+01:00
220.69,0.5816969345528348,2022-01-10 02:00:00+01:00
222.04,0.5822625478575548,2022-01-10 03:00:00+01:00
222.81,0.5818860828915412,2022-01-10 04:00:00+01:00
238.49,0.5795625759416768,2022-01-10 05:00:00+01:00
263.71,0.568573338220392,2022-01-10 06:00:00+01:00
287.76,0.5574367517725001,2022-01-10 07:00:00+01:00
320.99,0.577600633401112,2022-01-10 08:00:00+01:00
326.44,0.5763011086787656,2022-01-10 09:00:00+01:00
392.64,0.6218561925878999,2022-01-10 10:00:00+01:00
380.14,0.6246959836981529,2022-01-10 11:00:00+01:00
372.89,0.6262638137785093,2022-01-10 12:00:00+01:00
365.22,0.6283571047605939,2022-01-10 13:00:00+01:00
283.98,0.5795628482213923,2022-01-10 14:00:00+01:00
278.82,0.5811050207373752,2022-01-10 15:00:00+01:00
306.79,0.5790785028029974,2022-01-10 16:00:00+01:00
347.18,0.5755732024735157,2022-01-10 17:00:00+01:00
453.92,0.6131402636697645,2022-01-10 18:00:00+01:00
464.32,0.6115106018701436,2022-01-10 19:00:00+01:00
432.73,0.618026793110343,2022-01-10 20:00:00+01:00
403.78,0.625036764136778,2022-01-10 21:00:00+01:00
304.88,0.5841620202716944,2022-01-10 22:00:00+01:00
284.01,0.5880854764567027,2022-01-10 23:00:00+01:00
347.83,0.5629683580156997,2022-01-08 00:00:00+01:00
314.43,0.5693204656973692,2022-01-08 01:00:00+01:00
292.02,0.5749443799098265,2022-01-08 02:00:00+01:00
288.61,0.5771622837716228,2022-01-08 03:00:00+01:00
276.73,0.5793815296359107,2022-01-08 04:00:00+01:00
276.13,0.5799466532249595,2022-01-08 05:00:00+01:00
274.28,0.5766546127323185,2022-01-08 06:00:00+01:00
280.59,0.5730068616239177,2022-01-08 07:00:00+01:00
284.15,0.568254539636829,2022-01-08 08:00:00+01:00
295.87,0.56156167555564,2022-01-08 09:00:00+01:00
289.82,0.558667617634019,2022-01-08 10:00:00+01:00
273.62,0.5595386597411096,2022-01-08 11:00:00+01:00
263.92,0.56081597960051,2022-01-08 12:00:00+01:00
239.43,0.5641212920858564,2022-01-08 13:00:00+01:00
221.52,0.5664893617021276,2022-01-08 14:00:00+01:00
214.72,0.5687645687645688,2022-01-08 15:00:00+01:00
217.44,0.5734630904343698,2022-01-08 16:00:00+01:00
249.06,0.5673865500273373,2022-01-08 17:00:00+01:00
267.87,0.5644716046781161,2022-01-08 18:00:00+01:00
269.97,0.5624726545409088,2022-01-08 19:00:00+01:00
269.94,0.5624453056632079,2022-01-08 20:00:00+01:00
270.0,0.5632392515176169,2022-01-08 21:00:00+01:00
243.49,0.567853727932088,2022-01-08 22:00:00+01:00
199.53,0.5742366247445823,2022-01-08 23:00:00+01:00
161.24,0.59625767324902,2022-01-09 00:00:00+01:00
140.56,0.6106790633010384,2022-01-09 01:00:00+01:00
129.35,0.6171573071234315,2022-01-09 02:00:00+01:00
100.83,0.6451468424083435,2022-01-09 03:00:00+01:00
90.1,0.662889935256033,2022-01-09 04:00:00+01:00
94.5,0.6608391608391608,2022-01-09 05:00:00+01:00
123.58,0.6245514731894678,2022-01-09 06:00:00+01:00
140.44,0.6100251932933716,2022-01-09 07:00:00+01:00
157.19,0.6000076341705474,2022-01-09 08:00:00+01:00
192.05,0.5783767504893842,2022-01-09 09:00:00+01:00
188.28,0.5735347873766298,2022-01-09 10:00:00+01:00
163.06,0.5760616123790009,2022-01-09 11:00:00+01:00
