value,percentage,datetime
145.86,0.4163027656477438,2022-01-01 00:00:00+01:00
114.9,0.4013973799126638,2022-01-01 01:00:00+01:00
113.87,0.3973549220085843,2022-01-01 02:00:00+01:00
97.8,0.385236538385788,2022-01-01 03:00:00+01:00
97.8,0.3807225163500467,2022-01-01 04:00:00+01:00
95.74,0.37838906015334756,2022-01-01 05:00:00+01:00
97.8,0.38103401254529157,2022-01-01 06:00:00+01:00
97.8,0.3829587281697862,2022-01-01 07:00:00+01:00
97.8,0.3850696905268131,2022-01-01 08:00:00+01:00
70.05,0.37061531135918735,2022-01-01 09:00:00+01:00
76.79,0.38617048026150363,2022-01-01 10:00:00+01:00
84.1,0.396567171217051,2022-01-01 11:00:00+01:00
94.74,0.4037674735765428,2022-01-01 12:00:00+01:00
96.8,0.4054450261780105,2022-01-01 13:00:00+01:00
97.8,0.40533819628647216,2022-01-01 14:00:00+01:00
98.52,0.40014621664432803,2022-01-01 15:00:00+01:00
114.5,0.39945576332682114,2022-01-01 16:00:00+01:00
149.97,0.4140415780900582,2022-01-01 17:00:00+01:00
177.22,0.42401186716432193,2022-01-01 18:00:00+01:00
187.52,0.43422484659025123,2022-01-01 19:00:00+01:00
189.26,0.43371450833008685,2022-01-01 20:00:00+01:00
190.81,0.4344588902297411,2022-01-01 21:00:00+01:00
188.39,0.430832208932696,2022-01-01 22:00:00+01:00
167.26,0.42199011000100917,2022-01-01 23:00:00+01:00
181.5,0.43326728891647376,2022-01-03 00:00:00+01:00
160.72,0.42760602351939553,2022-01-03 01:00:00+01:00
154.64,0.42559515618549604,2022-01-03 02:00:00+01:00
149.86,0.42380023189389443,2022-01-03 03:00:00+01:00
144.49,0.4237491935010851,2022-01-03 04:00:00+01:00
148.86,0.4258740058362419,2022-01-03 05:00:00+01:00
153.77,0.43116307761327954,2022-01-03 06:00:00+01:00
160.72,0.4375,2022-01-03 07:00:00+01:00
189.26,0.4165327816537183,2022-01-03 08:00:00+01:00
183.54,0.41570030802681646,2022-01-03 09:00:00+01:00
160.72,0.34984762734000874,2022-01-03 10:00:00+01:00
152.2,0.3454615611594071,2022-01-03 11:00:00+01:00
148.86,0.34384311551521035,2022-01-03 12:00:00+01:00
142.04,0.33962173923439254,2022-01-03 13:00:00+01:00
127.38,0.40163960271165067,2022-01-03 14:00:00+01:00
112.87,0.39447104463006327,2022-01-03 15:00:00+01:00
126.8,0.39987385682749915,2022-01-03 16:00:00+01:00
148.49,0.4060876223814473,2022-01-03 17:00:00+01:00
175.06,0.35385672703751614,2022-01-03 18:00:00+01:00
180.0,0.355394092560417,2022-01-03 19:00:00+01:00
153.77,0.3425255607778495,2022-01-03 20:00:00+01:00
141.94,0.3355238275340393,2022-01-03 21:00:00+01:00
114.11,0.38886995637949834,2022-01-03 22:00:00+01:00
100.36,0.37861696910250126,2022-01-03 23:00:00+01:00
133.21,0.4170371297977584,2022-01-02 00:00:00+01:00
115.87,0.4073331927160233,2022-01-02 01:00:00+01:00
110.52,0.4020663562281723,2022-01-02 02:00:00+01:00
113.0,0.40099361249112847,2022-01-02 03:00:00+01:00
115.87,0.4009065116600928,2022-01-02 04:00:00+01:00
110.52,0.39748246718216146,2022-01-02 05:00:00+01:00
115.87,0.40417887540114417,2022-01-02 06:00:00+01:00
129.6,0.4135554279149914,2022-01-02 07:00:00+01:00
115.87,0.4118357917185001,2022-01-02 08:00:00+01:00
115.87,0.41904451918556296,2022-01-02 09:00:00+01:00
113.0,0.4238241692296152,2022-01-02 10:00:00+01:00
103.7,0.4231444077202432,2022-01-02 11:00:00+01:00
103.7,0.4235592043458727,2022-01-02 12:00:00+01:00
110.52,0.4277586407090606,2022-01-02 13:00:00+01:00
115.87,0.42857671253143953,2022-01-02 14:00:00+01:00
109.5,0.4250116441546344,2022-01-02 15:00:00+01:00
115.87,0.4201232777374909,2022-01-02 16:00:00+01:00
159.79,0.4316781932137454,2022-01-02 17:00:00+01:00
194.25,0.43446656229031533,2022-01-02 18:00:00+01:00
198.0,0.43675828296642694,2022-01-02 19:00:00+01:00
208.38,0.4379019039213214,2022-01-02 20:00:00+01:00
209.1,0.438171874017728,2022-01-02 21:00:00+01:00
191.36,0.43584020407233637,2022-01-02 22:00:00+01:00
178.0,0.4338606283666854,2022-01-02 23:00:00+01:00
207.15,0.43055786498170934,2022-01-06 00:00:00+01:00
204.22,0.42670288340994567,2022-01-06 01:00:00+01:00
191.82,0.42450262243565623,2022-01-06 02:00:00+01:00
180.7,0.4217134588905225,2022-01-06 03:00:00+01:00
170.1,0.41963735043789313,2022-01-06 04:00:00+01:00
194.38,0.42273982731998,2022-01-06 05:00:00+01:00
